Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
1,3,200,ortools_cp,0,943927650,14.65420618,facLoc_1000_100_10_5,293
0,3,200,ortools_cp,1,945186770,19.587288697,facLoc_1000_100_10_5,293
2,3,200,ortools_cp,2,944194010,15.7497286,facLoc_1000_100_10_5,293
6,3,200,ortools_cp,3,944194010,15.269021451,facLoc_1000_100_10_5,293
4,3,200,ortools_cp,4,944199740,15.644666989,facLoc_1000_100_10_5,293
3,3,201,ortools_cp,0,906180000,3600.2854503900003,facLoc_1000_100_16_3,300
7,3,201,ortools_cp,1,906126000,3600.670019603,facLoc_1000_100_16_3,300
5,3,201,ortools_cp,2,907146000,3600.418082335,facLoc_1000_100_16_3,300
8,3,201,ortools_cp,3,907791000,3600.7848069260003,facLoc_1000_100_16_3,300
9,3,201,ortools_cp,4,906322000,3600.421871417,facLoc_1000_100_16_3,300
10,3,202,ortools_cp,0,907916320,3600.719721639,facLoc_1000_100_16_8,302
12,3,202,ortools_cp,1,908721569,3600.385762741,facLoc_1000_100_16_8,302
11,3,202,ortools_cp,2,907902783,3600.339540416,facLoc_1000_100_16_8,302
18,3,202,ortools_cp,3,906556902,3600.536201324,facLoc_1000_100_16_8,302
17,3,202,ortools_cp,4,909818262,3600.440664565,facLoc_1000_100_16_8,302
19,3,203,ortools_cp,0,919400000,3600.4725256660004,facLoc_1000_100_19_1,592
13,3,203,ortools_cp,1,917600000,3600.838688412,facLoc_1000_100_19_1,592
14,3,203,ortools_cp,2,919400000,3600.454242487,facLoc_1000_100_19_1,592
15,3,203,ortools_cp,3,921300000,3600.3509684060004,facLoc_1000_100_19_1,592
16,3,203,ortools_cp,4,918400000,3600.4435723210004,facLoc_1000_100_19_1,592
20,3,204,ortools_cp,0,862438973,76.474156324,facLoc_1000_20_76_8,820
21,3,204,ortools_cp,1,859100381,68.472641338,facLoc_1000_20_76_8,820
22,3,204,ortools_cp,2,860721437,85.24585917200001,facLoc_1000_20_76_8,820
23,3,204,ortools_cp,3,862582559,258.470946543,facLoc_1000_20_76_8,820
24,3,204,ortools_cp,4,861337731,79.08964498600001,facLoc_1000_20_76_8,820
25,3,205,ortools_cp,0,860967000,4.935190825,facLoc_1000_20_79_3,806
26,3,205,ortools_cp,1,864330000,3.876975302,facLoc_1000_20_79_3,806
29,3,205,ortools_cp,2,858755000,4.236814551,facLoc_1000_20_79_3,806
27,3,205,ortools_cp,3,856818000,2.7481927770000003,facLoc_1000_20_79_3,806
28,3,205,ortools_cp,4,856663000,3.940396041,facLoc_1000_20_79_3,806
30,3,206,ortools_cp,0,856469870,34.28787032,facLoc_1000_20_81_5,813
31,3,206,ortools_cp,1,856571090,24.716956692,facLoc_1000_20_81_5,813
34,3,206,ortools_cp,2,856500790,24.762156445,facLoc_1000_20_81_5,813
36,3,206,ortools_cp,3,860336400,24.210438989,facLoc_1000_20_81_5,813
32,3,206,ortools_cp,4,856251320,26.884018912,facLoc_1000_20_81_5,813
35,3,207,ortools_cp,0,875900000,1208.791290309,facLoc_1000_20_90_1,908
33,3,207,ortools_cp,1,875400000,1127.060157465,facLoc_1000_20_90_1,908
37,3,207,ortools_cp,2,877900000,1115.832319456,facLoc_1000_20_90_1,908
38,3,207,ortools_cp,3,875500000,1558.352924624,facLoc_1000_20_90_1,908
43,3,207,ortools_cp,4,876300000,930.024456107,facLoc_1000_20_90_1,908
42,3,208,ortools_cp,0,1094205720,38.27746634,facLoc_1000_250_4_5,173
40,3,208,ortools_cp,1,1094451310,39.424812512,facLoc_1000_250_4_5,173
44,3,208,ortools_cp,2,1093973760,39.078434715,facLoc_1000_250_4_5,173
41,3,208,ortools_cp,3,1095010500,35.717366383000005,facLoc_1000_250_4_5,173
39,3,208,ortools_cp,4,1093666100,47.716595166000005,facLoc_1000_250_4_5,173
47,3,209,ortools_cp,0,1045993000,34.837901943000006,facLoc_1000_250_5_3,197
48,3,209,ortools_cp,1,1046540000,40.392848910000005,facLoc_1000_250_5_3,197
45,3,209,ortools_cp,2,1046129000,33.988449725,facLoc_1000_250_5_3,197
46,3,209,ortools_cp,3,1046540000,50.475558152000005,facLoc_1000_250_5_3,197
49,3,209,ortools_cp,4,1046540000,40.922453057000006,facLoc_1000_250_5_3,197
52,3,210,ortools_cp,0,1047725828,44.140286539,facLoc_1000_250_5_8,181
