Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
0,2,200,scip,0,960052500,44.668122,facLoc_1000_100_10_5,639
1,2,200,scip,1,961978910,67.546504,facLoc_1000_100_10_5,639
2,2,200,scip,2,961268570,41.858753,facLoc_1000_100_10_5,639
3,2,200,scip,3,961122270,37.178155,facLoc_1000_100_10_5,639
6,2,200,scip,4,960175960,43.067465,facLoc_1000_100_10_5,639
5,2,201,scip,0,921695000,3600.002539,facLoc_1000_100_16_3,639
4,2,201,scip,1,921735000,3600.322175,facLoc_1000_100_16_3,639
7,2,201,scip,2,923025000,3600.235117,facLoc_1000_100_16_3,639
8,2,201,scip,3,921857000,3600.002254,facLoc_1000_100_16_3,639
10,2,201,scip,4,920496000,3600.034282,facLoc_1000_100_16_3,639
9,2,202,scip,0,926326375,3600.022296,facLoc_1000_100_16_8,639
12,2,202,scip,1,923082688,3600.011518,facLoc_1000_100_16_8,639
11,2,202,scip,2,924961821,3600.003673,facLoc_1000_100_16_8,639
13,2,202,scip,3,926233337,3600.006518,facLoc_1000_100_16_8,639
14,2,202,scip,4,925503482,3600.005094,facLoc_1000_100_16_8,639
15,2,203,scip,0,934400000,26.067406,facLoc_1000_100_19_1,639
16,2,203,scip,1,934400000,27.108349,facLoc_1000_100_19_1,639
18,2,203,scip,2,934400000,17.103019,facLoc_1000_100_19_1,639
17,2,203,scip,3,934400000,24.785628,facLoc_1000_100_19_1,639
19,2,203,scip,4,934400000,27.300587,facLoc_1000_100_19_1,639
20,2,204,scip,0,877602617,79.552929,facLoc_1000_20_76_8,967
21,2,204,scip,1,879819614,43.65672,facLoc_1000_20_76_8,967
22,2,204,scip,2,880813206,47.452838,facLoc_1000_20_76_8,967
24,2,204,scip,3,882781660,56.115235,facLoc_1000_20_76_8,967
23,2,204,scip,4,879368768,33.603662,facLoc_1000_20_76_8,967
26,2,205,scip,0,874994000,19.981599,facLoc_1000_20_79_3,968
25,2,205,scip,1,875897000,10.998189,facLoc_1000_20_79_3,968
27,2,205,scip,2,876231000,20.410143,facLoc_1000_20_79_3,968
28,2,205,scip,3,874972000,9.186706,facLoc_1000_20_79_3,968
29,2,205,scip,4,873827000,13.203422,facLoc_1000_20_79_3,968
30,2,206,scip,0,878542850,14.939418,facLoc_1000_20_81_5,965
33,2,206,scip,1,874729680,43.186204,facLoc_1000_20_81_5,965
31,2,206,scip,2,876187420,12.580719,facLoc_1000_20_81_5,965
34,2,206,scip,3,874595830,11.68659,facLoc_1000_20_81_5,965
32,2,206,scip,4,876758490,9.316032,facLoc_1000_20_81_5,965
35,2,207,scip,0,889200000,1.300276,facLoc_1000_20_90_1,1018
36,2,207,scip,1,889200000,1.300086,facLoc_1000_20_90_1,1018
37,2,207,scip,2,889200000,1.328721,facLoc_1000_20_90_1,1018
38,2,207,scip,3,889200000,1.311699,facLoc_1000_20_90_1,1018
40,2,207,scip,4,889200000,1.346076,facLoc_1000_20_90_1,1018
41,2,208,scip,0,1110514700,111.955921,facLoc_1000_250_4_5,255
39,2,208,scip,1,1112620130,102.650837,facLoc_1000_250_4_5,255
43,2,208,scip,2,1107709400,140.960907,facLoc_1000_250_4_5,255
42,2,208,scip,3,1109682020,139.273871,facLoc_1000_250_4_5,255
44,2,208,scip,4,1112162170,154.226365,facLoc_1000_250_4_5,255
45,2,209,scip,0,1059937000,263.442854,facLoc_1000_250_5_3,255
46,2,209,scip,1,1060320000,1180.49559,facLoc_1000_250_5_3,255
48,2,209,scip,2,1061543000,195.099962,facLoc_1000_250_5_3,255
47,2,209,scip,3,1062581000,365.662358,facLoc_1000_250_5_3,255
49,2,209,scip,4,1061660000,153.066592,facLoc_1000_250_5_3,255
50,2,210,scip,0,1063041902,190.108451,facLoc_1000_250_5_8,255
53,2,210,scip,1,1062329711,126.451382,facLoc_1000_250_5_8,255
51,2,210,scip,2,1062005603,246.899384,facLoc_1000_250_5_8,255
52,2,210,scip,3,1061412879,119.672595,facLoc_1000_250_5_8,255
54,2,210,scip,4,1062440595,246.505892,facLoc_1000_250_5_8,255
56,2,211,scip,0,1048700000,124.244748,facLoc_1000_250_6_1,255
55,2,211,scip,1,1048700000,71.982363,facLoc_1000_250_6_1,255
57,2,211,scip,2,1048700000,112.587984,facLoc_1000_250_6_1,255
60,2,211,scip,3,1048700000,124.868464,facLoc_1000_250_6_1,255
59,2,211,scip,4,1048700000,110.099046,facLoc_1000_250_6_1,255
58,2,212,scip,0,1362610000,735.263614,facLoc_1000_500_2_3,127
62,2,212,scip,1,1364500000,782.570806,facLoc_1000_500_2_3,127
61,2,212,scip,2,1361072000,806.559869,facLoc_1000_500_2_3,127
63,2,212,scip,3,1362733000,938.457817,facLoc_1000_500_2_3,127
65,2,212,scip,4,1361137000,1003.9563,facLoc_1000_500_2_3,127
64,2,213,scip,0,1362810870,449.827561,facLoc_1000_500_2_5,127
66,2,213,scip,1,1363097110,746.345717,facLoc_1000_500_2_5,127
68,2,213,scip,2,1364193370,717.666566,facLoc_1000_500_2_5,127
69,2,213,scip,3,1361403880,510.555015,facLoc_1000_500_2_5,127
67,2,213,scip,4,1363870600,542.066666,facLoc_1000_500_2_5,127
70,2,214,scip,0,1211700000,731.092591,facLoc_1000_500_3_1,127
72,2,214,scip,1,1211700000,455.625701,facLoc_1000_500_3_1,127
71,2,214,scip,2,1211700000,385.415243,facLoc_1000_500_3_1,127
73,2,214,scip,3,1211700000,514.539673,facLoc_1000_500_3_1,127
76,2,214,scip,4,1211700000,591.370808,facLoc_1000_500_3_1,127
75,2,215,scip,0,1198031497,3600.435781,facLoc_1000_500_3_8,127
74,2,215,scip,1,1197598266,3600.231507,facLoc_1000_500_3_8,127
77,2,215,scip,2,1198901514,3600.218176,facLoc_1000_500_3_8,127
78,2,215,scip,3,1199816697,3600.028029,facLoc_1000_500_3_8,127
81,2,215,scip,4,1199449713,3600.022962,facLoc_1000_500_3_8,127
80,2,216,scip,0,917719090,144.990729,facLoc_1000_50_21_5,924
79,2,216,scip,1,914244350,127.907688,facLoc_1000_50_21_5,924
82,2,216,scip,2,912359670,633.901439,facLoc_1000_50_21_5,924
83,2,216,scip,3,915052830,182.701007,facLoc_1000_50_21_5,924
84,2,216,scip,4,919147230,110.976421,facLoc_1000_50_21_5,924
86,2,217,scip,0,896598000,3600.004552,facLoc_1000_50_33_3,902
85,2,217,scip,1,897658000,3600.001235,facLoc_1000_50_33_3,902
87,2,217,scip,2,895313000,3600.004313,facLoc_1000_50_33_3,902
88,2,217,scip,3,896675000,3600.092689,facLoc_1000_50_33_3,902
90,2,217,scip,4,894146000,3600.002713,facLoc_1000_50_33_3,902
89,2,218,scip,0,889613173,3600.00515,facLoc_1000_50_37_8,902
91,2,218,scip,1,889931876,3600.001276,facLoc_1000_50_37_8,902
92,2,218,scip,2,889542475,3600.117048,facLoc_1000_50_37_8,902
93,2,218,scip,3,891750245,3600.000191,facLoc_1000_50_37_8,902
94,2,218,scip,4,891192728,3600.006409,facLoc_1000_50_37_8,902
95,2,219,scip,0,903100000,4.00314,facLoc_1000_50_39_1,1048
96,2,219,scip,1,903100000,4.317999,facLoc_1000_50_39_1,1048
97,2,219,scip,2,903100000,4.083779,facLoc_1000_50_39_1,1048
