Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
0,4,300,scip_knapsack,0,-39049095960,91.541142,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
2,4,300,scip_knapsack,1,-39049095960,99.492784,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
1,4,300,scip_knapsack,2,-39049095960,91.607385,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
3,4,300,scip_knapsack,3,-39049095960,99.788645,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
4,4,300,scip_knapsack,4,-39049095960,98.374729,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
5,4,301,scip_knapsack,0,-44396838001,3600.019511,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
6,4,301,scip_knapsack,1,-44396995530,3600.009483,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
7,4,301,scip_knapsack,2,-44397010817,3600.003224,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
8,4,301,scip_knapsack,3,-44396929605,3600.02301,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
9,4,301,scip_knapsack,4,-44396983635,3600.030847,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
10,4,302,scip_knapsack,0,-46301727724,90.111263,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
11,4,302,scip_knapsack,1,-46301793739,82.689258,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
13,4,302,scip_knapsack,2,-46301793739,93.780858,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
12,4,302,scip_knapsack,3,-46301790979,88.448873,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
14,4,302,scip_knapsack,4,-46301793739,81.571864,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
15,4,303,scip_knapsack,0,-43745540217,131.495817,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
17,4,303,scip_knapsack,1,-43745540217,122.493847,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
16,4,303,scip_knapsack,2,-43745540217,133.557108,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
18,4,303,scip_knapsack,3,-43745544701,123.966881,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
19,4,303,scip_knapsack,4,-43745544701,126.332504,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
21,4,304,scip_knapsack,0,-43629625265,3600.035744,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
20,4,304,scip_knapsack,1,-43629602083,3600.040155,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
22,4,304,scip_knapsack,2,-43629627490,3600.035604,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
23,4,304,scip_knapsack,3,-43629595103,3600.015075,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
24,4,304,scip_knapsack,4,-43629589512,3600.021456,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
25,4,305,scip_knapsack,0,-41276384450,3600.025828,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
26,4,305,scip_knapsack,1,-41276385189,3600.034999,knapsack_clustered_n100000_k200_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
