Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
7,0,300,scip_knapsack,0,-39065015248,3600.014036,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
10,0,300,scip_knapsack,1,-39065015248,3600.016918,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
14,0,300,scip_knapsack,2,-39065015248,3600.015842,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
1,0,300,scip_knapsack,3,-39065015248,3600.009513,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
0,0,300,scip_knapsack,4,-39065015248,3600.006992,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced0,640
4,0,301,scip_knapsack,0,-44398716454,3600.018648,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
3,0,301,scip_knapsack,1,-44398716454,3600.011874,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
13,0,301,scip_knapsack,2,-44398716454,3600.029068,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
9,0,301,scip_knapsack,3,-44398716454,3600.022819,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
5,0,301,scip_knapsack,4,-44398716454,3600.027865,knapsack_clustered_n100000_k100_w[50_100000]_v[1024_1048576]_noise4096_balanced1,640
6,0,302,scip_knapsack,0,-46302576367,3600.003625,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
8,0,302,scip_knapsack,1,-46302576198,3600.013147,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
12,0,302,scip_knapsack,2,-46302575073,3600.000785,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
2,0,302,scip_knapsack,3,-46302576367,3600.01033,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
11,0,302,scip_knapsack,4,-46302576304,3600.035534,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced0,640
15,0,303,scip_knapsack,0,-43764885693,3600.006343,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
21,0,303,scip_knapsack,1,-43764885684,3600.004479,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
30,0,303,scip_knapsack,2,-43764885694,3600.004951,knapsack_clustered_n100000_k100_w[50_500]_v[1024_1048576]_noise4096_balanced1,640
