Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
1,2,0,ortools_cp,0,-1.236928e6,58.766708390000005,ab51-40-100,2463
3,2,0,ortools_cp,1,-1.23693e6,45.018622779000005,ab51-40-100,2463
0,2,0,ortools_cp,2,-1.23902e6,39.111652418000006,ab51-40-100,2463
2,2,0,ortools_cp,3,-1.236922e6,47.900789239000005,ab51-40-100,2463
7,2,0,ortools_cp,4,-1.238035e6,62.695663698,ab51-40-100,2463
16,2,1,ortools_cp,0,-1.126902e6,44.946859909,ab67-40-100,2345
12,2,1,ortools_cp,1,-1.126902e6,52.066219711,ab67-40-100,2345
11,2,1,ortools_cp,2,-1.126902e6,56.401750288,ab67-40-100,2345
10,2,1,ortools_cp,3,-1.126902e6,40.058789861,ab67-40-100,2345
6,2,1,ortools_cp,4,-1.126902e6,51.852280168,ab67-40-100,2345
8,2,2,ortools_cp,0,-1.13937e6,59.584788664,ab69-40-100,2298
15,2,2,ortools_cp,1,-1.139411e6,57.210681508,ab69-40-100,2298
4,2,2,ortools_cp,2,-1.139302e6,66.704138631,ab69-40-100,2298
18,2,2,ortools_cp,3,-1.139411e6,82.339354854,ab69-40-100,2298
9,2,2,ortools_cp,4,-1.13937e6,59.495902456,ab69-40-100,2298
5,2,3,ortools_cp,0,-1.876152e6,21.477067644,ab71-20-100,1080
13,2,3,ortools_cp,1,-1.88411e6,17.851527048,ab71-20-100,1080
19,2,3,ortools_cp,2,-1.880368e6,18.124871525,ab71-20-100,1080
14,2,3,ortools_cp,3,-1.872619e6,14.980770356,ab71-20-100,1080
17,2,3,ortools_cp,4,-1.864208e6,16.946472798000002,ab71-20-100,1080
26,2,4,ortools_cp,0,-1.142061e6,59.25484491900001,ab72-40-100,2340
31,2,4,ortools_cp,1,-1.142061e6,60.258996542000006,ab72-40-100,2340
28,2,4,ortools_cp,2,-1.140418e6,60.714009749000006,ab72-40-100,2340
36,2,4,ortools_cp,3,-1.141978e6,50.283075085,ab72-40-100,2340
35,2,4,ortools_cp,4,-1.142267e6,48.138212548000006,ab72-40-100,2340
37,2,5,ortools_cp,0,75550.0,1.384189954,app2-1,16
29,2,5,ortools_cp,1,75550.0,1.472363171,app2-1,16
21,2,5,ortools_cp,2,75550.0,1.27296087,app2-1,16
27,2,5,ortools_cp,3,75550.0,1.457899613,app2-1,16
