Column1,bit_num,problem,mode,seed,Objective value,Solving time,Problem,num_generators
1,0,0,ortools_cp,0,-1.285215e6,378.85301365,ab51-40-100,2423
0,0,0,ortools_cp,1,-1.285215e6,223.118861997,ab51-40-100,2423
2,0,0,ortools_cp,2,-1.285215e6,101.540877102,ab51-40-100,2423
3,0,0,ortools_cp,3,-1.285215e6,52.989365786,ab51-40-100,2423
4,0,0,ortools_cp,4,-1.285215e6,61.182068091000005,ab51-40-100,2423
7,0,1,ortools_cp,0,-1.169073e6,38.845599451000005,ab67-40-100,2229
18,0,1,ortools_cp,1,-1.169073e6,27.761454934000003,ab67-40-100,2229
14,0,1,ortools_cp,2,-1.169073e6,34.890526484,ab67-40-100,2229
21,0,1,ortools_cp,3,-1.169073e6,32.428968461000004,ab67-40-100,2229
6,0,1,ortools_cp,4,-1.169073e6,39.821085536000005,ab67-40-100,2229
23,0,2,ortools_cp,0,-1.1849e6,30.804349752,ab69-40-100,2251
15,0,2,ortools_cp,1,-1.1849e6,31.457529247000004,ab69-40-100,2251
13,0,2,ortools_cp,2,-1.1849e6,38.22271657,ab69-40-100,2251
11,0,2,ortools_cp,3,-1.1849e6,21.233821555,ab69-40-100,2251
9,0,2,ortools_cp,4,-1.1849e6,25.308256553000003,ab69-40-100,2251
5,0,3,ortools_cp,0,-1.966004e6,21.70736087,ab71-20-100,1080
12,0,3,ortools_cp,1,-1.966004e6,31.021500078000003,ab71-20-100,1080
16,0,3,ortools_cp,2,-1.966004e6,29.026395695,ab71-20-100,1080
17,0,3,ortools_cp,3,-1.966004e6,29.121912119,ab71-20-100,1080
20,0,3,ortools_cp,4,-1.966004e6,28.649415450000003,ab71-20-100,1080
8,0,4,ortools_cp,0,-1.200307e6,34.169519602,ab72-40-100,2279
22,0,4,ortools_cp,1,-1.200307e6,28.753942152,ab72-40-100,2279
10,0,4,ortools_cp,2,-1.200307e6,34.344341024,ab72-40-100,2279
19,0,4,ortools_cp,3,-1.200307e6,35.381759755000004,ab72-40-100,2279
38,0,4,ortools_cp,4,-1.200307e6,24.173728281,ab72-40-100,2279
34,0,5,ortools_cp,0,75507.0,1.653964967,app2-1,13
29,0,5,ortools_cp,1,75507.0,1.356837543,app2-1,13
35,0,5,ortools_cp,2,75507.0,1.569450876,app2-1,13
39,0,5,ortools_cp,3,75507.0,1.4234960410000002,app2-1,13
32,0,5,ortools_cp,4,75507.0,1.675845108,app2-1,13
