bit_num,problem,mode,seed,Objective value,Primal-Dual Gap,Solving time,num_generators
5,0,scip,0,-1.2843019999999998e6,0.0,44.385415,1500
5,0,scip,1,-1.28446e6,0.0,110.609289,1500
5,0,scip,2,-1.284302e6,0.0,35.746534,1500
5,0,scip,3,-1.284460000000002e6,0.0,52.386388,1500
5,0,scip,4,-1.284302e6,0.0,74.838715,1500
5,1,scip,0,-1.1485559999999998e6,0.0,42.635776,1500
5,1,scip,1,-1.149195e6,0.0,45.279252,1500
5,1,scip,2,-1.1491949999999988e6,0.0,46.064661,1500
5,1,scip,3,-1.1485560000000002e6,0.0,40.454312,1500
5,1,scip,4,-1.1485560000000002e6,0.0,37.950349,1500
5,2,scip,0,-1.177181e6,0.0,33.042222,1500
5,2,scip,1,-1.176255e6,0.0,35.298089,1500
5,2,scip,2,-1.1766939999999995e6,0.0,54.026441,1500
5,2,scip,3,-1.177181e6,0.0,124.932246,1500
5,2,scip,4,-1.1758619999999998e6,0.0,41.089142,1500
5,3,scip,0,-1.966004e6,0.0,32.090409,1149
5,3,scip,1,-1.966004e6,0.0,28.305984,1149
5,3,scip,2,-1.966004e6,0.0,27.87288,1149
5,3,scip,3,-1.966004e6,0.0,31.493938,1149
5,3,scip,4,-1.966004e6,0.0,34.432406,1149
5,4,scip,0,-1.1949489999999998e6,0.0,34.935483,1500
5,4,scip,1,-1.1923319999999944e6,0.0,31.046168,1500
5,4,scip,2,-1.192436e6,0.0,128.232913,1500
5,4,scip,3,-1.197721e6,0.0,37.099568,1500
5,4,scip,4,-1.1904539999999998e6,0.0,34.91935,1500
5,5,scip,0,75546.0,0.0,0.968747,31
5,5,scip,1,75545.0,0.0,1.934855,31
5,5,scip,2,75544.0,0.0,1.466637,31
5,5,scip,3,75545.0,0.0,2.04066,31
5,5,scip,4,75545.0,0.0,2.363576,31
5,6,scip,0,612972.0,0.0,0.280184,0
5,6,scip,1,612972.0,0.0,0.32265,0
5,6,scip,2,612972.0,0.0,0.244863,0
5,6,scip,3,612972.0,0.0,0.324473,0
5,6,scip,4,612972.0,0.0,0.244773,0
5,7,scip,0,-3.915324e6,0.01844898551308089,3600.001468,0
5,7,scip,1,-3.920324e6,0.018237834707024624,3600.00321,0
5,7,scip,2,-3.91455e6,0.018796746408291525,3600.004283,0
5,7,scip,3,-3.918302e6,0.018012482463649393,3600.003571,0
5,7,scip,4,-3.922092e6,0.026097780046358373,3600.001243,0
5,8,scip,0,-4.974782262396694e6,1.0e20,3600.018221,2
5,8,scip,1,-5.024840833333332e6,1.0e20,3600.018615,2
5,8,scip,2,-8.2982938e7,1.0e20,3600.025736,2
5,8,scip,3,-8.287184e7,1.0e20,3600.062733,2
5,8,scip,4,-8.3105643e7,1.0e20,3600.010066,2
5,9,scip,0,-8.3324083e7,1.0e20,3600.194349,3
5,9,scip,1,-8.3324083e7,1.0e20,3600.185059,3
5,9,scip,2,-8.3324083e7,1.0e20,3600.227259,3
5,9,scip,3,-8.3324083e7,1.0e20,3600.181853,3
5,9,scip,4,-8.3324083e7,1.0e20,3603.855957,3
5,10,scip,0,-1.2380497e7,0.0003250055041254731,3600.019517,5
5,10,scip,1,-1.2381775e7,0.0011637293857395972,3600.015767,5
