bit_num,problem,mode,seed,Objective value,Primal-Dual Gap,Solving time,num_generators
0,0,scip,0,-1.285215e6,0.0,125.342308,1500
0,0,scip,1,-1.285215e6,0.0,133.811792,1500
0,0,scip,2,-1.285215e6,0.0,109.895292,1500
0,0,scip,3,-1.285215e6,0.0,125.565404,1500
0,0,scip,4,-1.2852150000000002e6,0.0,323.39902,1500
0,1,scip,0,-1.169073e6,0.0,79.655834,1500
0,1,scip,1,-1.1690730000000033e6,0.0,182.648405,1500
0,1,scip,2,-1.1690730000000002e6,0.0,78.501946,1500
0,1,scip,3,-1.1690730000000002e6,0.0,85.332181,1500
0,1,scip,4,-1.169073e6,0.0,192.18803,1500
0,2,scip,0,-1.1848999999999998e6,0.0,82.552675,1500
0,2,scip,1,-1.1849e6,0.0,76.862255,1500
0,2,scip,2,-1.1849e6,0.0,87.552522,1500
0,2,scip,3,-1.1849e6,0.0,77.547973,1500
0,2,scip,4,-1.1849e6,0.0,80.665218,1500
0,3,scip,0,-1.966004e6,0.0,56.462083,1149
0,3,scip,1,-1.966004e6,0.0,50.115076,1149
0,3,scip,2,-1.966004e6,0.0,65.296232,1149
0,3,scip,3,-1.9660040000000007e6,0.0,53.519756,1149
0,3,scip,4,-1.966004e6,0.0,49.489855,1149
0,4,scip,0,-1.2003070000000002e6,0.0,84.800284,1500
0,4,scip,1,-1.200307e6,0.0,210.0344,1500
0,4,scip,2,-1.2003070000000212e6,0.0,89.786888,1500
0,4,scip,3,-1.200307e6,0.0,90.535401,1500
0,4,scip,4,-1.2003069999999998e6,0.0,96.759608,1500
0,5,scip,0,75507.0,0.0,1.104417,28
0,5,scip,1,75507.0,0.0,1.390841,28
0,5,scip,2,75507.0,0.0,3.5161059999999997,28
0,5,scip,3,75507.0,0.0,0.499857,28
0,5,scip,4,75507.0,0.0,1.230273,28
0,6,scip,0,612913.0,0.0,0.835213,0
0,6,scip,1,612913.0,0.0,0.239878,0
0,6,scip,2,612913.0,0.0,0.277534,0
0,6,scip,3,612913.0,0.0,0.245506,0
0,6,scip,4,612913.0,0.0,0.25532299999999997,0
0,7,scip,0,-3.923266e6,0.018726313174987352,3600.001434,0
0,7,scip,1,-3.923806e6,0.018433493646295734,3600.001396,0
0,7,scip,2,-3.912168e6,0.02221614022126429,3600.003243,0
0,7,scip,3,-3.923806e6,0.018321362014844866,3600.002492,0
0,7,scip,4,-3.923804e6,0.017969080514724973,3600.001173,0
0,8,scip,0,-8.3324291e7,1.0e20,3600.017174,3
0,8,scip,1,-8.3324291e7,1.0e20,3600.013815,3
0,8,scip,2,-4.890097e6,0.03313271951488645,3600.038451,3
0,8,scip,3,-8.3324291e7,1.0e20,3600.015514,3
0,8,scip,4,-4.97080434375e6,1.0e20,3600.022393,3
0,9,scip,0,-8.3324083e7,1.0e20,3600.232271,3
0,9,scip,1,-8.3324083e7,1.0e20,3600.206144,3
0,9,scip,2,-8.3324083e7,1.0e20,3600.233332,3
0,9,scip,3,-8.3324083e7,1.0e20,3600.194819,3
0,9,scip,4,-8.3324083e7,1.0e20,3600.210063,3
0,10,scip,0,-1.2414004e7,0.0002553970499767843,3600.003267,3
0,10,scip,1,-1.2414004e7,0.0021198841244130418,3600.000972,3
0,10,scip,2,-1.2414004e7,0.00025620259184707853,3600.001001,3
0,10,scip,3,-1.2414004e7,0.00025620259184707853,3600.00566,3
0,10,scip,4,-1.2414004e7,0.0,3190.525095,3
0,11,scip,0,-9.4841306e7,1.0e20,3603.154038,5
0,11,scip,1,-6.081828325e6,1.0e20,3600.016054,5
0,11,scip,2,-6.097828e6,0.032439936218090965,3600.008678,5
0,11,scip,3,-9.6627577e7,1.0e20,3600.012466,5
